NameOfFile Method CorCoeff PValue Species Gene Samples
Acentrogobius_janthinopterus.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.112 0.038 Acentrogobius_janthinopterus CytB 10
Acentrogobius_janthinopterus.CytB.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance -0.018 0.308 Acentrogobius_janthinopterus CytB 20
Acentrogobius_janthinopterus.CytB.terminals.nuc.fa.20.samples.mike6.txt DAndDistance -0.038 0.197 Acentrogobius_janthinopterus CytB 20
Acheilognathus_macropterus.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.01 0.607 Acheilognathus_macropterus CytB 10
Acheilognathus_macropterus.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.074 0.007 Acheilognathus_macropterus CytB 10
Acheilognathus_rhombeus.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.017 0.383 Acheilognathus_rhombeus CytB 10
Acheilognathus_rhombeus.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0.05 0.775 Acheilognathus_rhombeus CytB 10
Acheilognathus_tabira.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.06 0.034 Acheilognathus_tabira CytB 10
Acheilognathus_tabira.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0.007 0.58 Acheilognathus_tabira CytB 10
Acheilognathus_tabira.CytB.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance -0.028 0.036 Acheilognathus_tabira CytB 20
Acheilognathus_tabira.CytB.terminals.nuc.fa.20.samples.mike6.txt DAndDistance 0.014 0.79 Acheilognathus_tabira CytB 20
Acheilognathus_tabira.CytB.terminals.nuc.fa.30.samples.mike6.txt RSquareAndDistance -0.026 0.044 Acheilognathus_tabira CytB 30
Acheilognathus_tabira.CytB.terminals.nuc.fa.30.samples.mike6.txt DAndDistance 0.003 0.608 Acheilognathus_tabira CytB 30
Acipenser_gueldenstaedtii.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.1 0.12 Acipenser_gueldenstaedtii CytB 10
Acipenser_gueldenstaedtii.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0 0.444 Acipenser_gueldenstaedtii CytB 10
Acipenser_gueldenstaedtii.CytB.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance -0.071 0.089 Acipenser_gueldenstaedtii CytB 20
Acipenser_gueldenstaedtii.CytB.terminals.nuc.fa.20.samples.mike6.txt DAndDistance 0.048 0.8 Acipenser_gueldenstaedtii CytB 20
Acipenser_schrenckii.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.064 0.788 Acipenser_schrenckii CytB 10
Acipenser_schrenckii.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0 0.384 Acipenser_schrenckii CytB 10
Acipenser_stellatus.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.349 0.004 Acipenser_stellatus CytB 10
Acomys_cahirinus.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.017 0.173 Acomys_cahirinus CytB 10
Acomys_dimidiatus.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.006 0.428 Acomys_dimidiatus CytB 10
Acomys_dimidiatus.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0.042 0.971 Acomys_dimidiatus CytB 10
Acritillas_indica.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.023 0.576 Acritillas_indica CytB 10
Acritillas_indica.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.029 0.294 Acritillas_indica CytB 10
Acrocephalus_brevipennis.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.002 0.565 Acrocephalus_brevipennis CytB 10
Acrocephalus_brevipennis.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.19 0.142 Acrocephalus_brevipennis CytB 10
Acrossocheilus_yunnanensis.ND4.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.016 0.646 Acrossocheilus_yunnanensis ND4 10
Acrossocheilus_yunnanensis.ND4.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0.027 0.859 Acrossocheilus_yunnanensis ND4 10
Adelomyia_melanogenys.ATP6.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.032 0.948 Adelomyia_melanogenys ATP6 10
Adelomyia_melanogenys.ATP6.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.012 0.327 Adelomyia_melanogenys ATP6 10
Adelomyia_melanogenys.ATP6.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance -0.008 0.351 Adelomyia_melanogenys ATP6 20
Adelomyia_melanogenys.ATP6.terminals.nuc.fa.20.samples.mike6.txt DAndDistance -0.033 0.105 Adelomyia_melanogenys ATP6 20
Adelomyia_melanogenys.ATP6.terminals.nuc.fa.30.samples.mike6.txt RSquareAndDistance -0.016 0.19 Adelomyia_melanogenys ATP6 30
Adelomyia_melanogenys.ATP6.terminals.nuc.fa.30.samples.mike6.txt DAndDistance -0.068 0.001 Adelomyia_melanogenys ATP6 30
Adelomyia_melanogenys.ATP6.terminals.nuc.fa.40.samples.mike6.txt RSquareAndDistance 0.009 0.673 Adelomyia_melanogenys ATP6 40
Adelomyia_melanogenys.ATP6.terminals.nuc.fa.40.samples.mike6.txt DAndDistance -0.076 0 Adelomyia_melanogenys ATP6 40
Adelomyia_melanogenys.ATP6.terminals.nuc.fa.50.samples.mike6.txt RSquareAndDistance -0.001 0.462 Adelomyia_melanogenys ATP6 50
Adelomyia_melanogenys.ATP6.terminals.nuc.fa.50.samples.mike6.txt DAndDistance -0.053 0.004 Adelomyia_melanogenys ATP6 50
Adelomyia_melanogenys.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.022 0.04 Adelomyia_melanogenys CytB 10
Adelomyia_melanogenys.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.011 0.285 Adelomyia_melanogenys CytB 10
Adelomyia_melanogenys.CytB.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance 0 0.468 Adelomyia_melanogenys CytB 20
Adelomyia_melanogenys.CytB.terminals.nuc.fa.20.samples.mike6.txt DAndDistance 0 0.499 Adelomyia_melanogenys CytB 20
Adelomyia_melanogenys.CytB.terminals.nuc.fa.30.samples.mike6.txt RSquareAndDistance -0.009 0.274 Adelomyia_melanogenys CytB 30
Adelomyia_melanogenys.CytB.terminals.nuc.fa.30.samples.mike6.txt DAndDistance 0.005 0.628 Adelomyia_melanogenys CytB 30
Aegithalos_caudatus.ND2.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.104 0.939 Aegithalos_caudatus ND2 10
Aegithalos_caudatus.ND2.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.039 0.292 Aegithalos_caudatus ND2 10
Aegithalos_caudatus.ND2.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance 0.09 0.963 Aegithalos_caudatus ND2 20
Aegithalos_caudatus.ND2.terminals.nuc.fa.20.samples.mike6.txt DAndDistance 0.005 0.44 Aegithalos_caudatus ND2 20
Aegithalos_caudatus.ND2.terminals.nuc.fa.30.samples.mike6.txt RSquareAndDistance 0.088 0.973 Aegithalos_caudatus ND2 30
Aegithalos_caudatus.ND2.terminals.nuc.fa.30.samples.mike6.txt DAndDistance 0.009 0.54 Aegithalos_caudatus ND2 30
Aegithalos_concinnus.ND2.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.022 0.622 Aegithalos_concinnus ND2 10
Aegithalos_concinnus.ND2.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.068 0.156 Aegithalos_concinnus ND2 10
Aegithalos_concinnus.ND2.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance 0.009 0.529 Aegithalos_concinnus ND2 20
Aegithalos_concinnus.ND2.terminals.nuc.fa.20.samples.mike6.txt DAndDistance 0.008 0.629 Aegithalos_concinnus ND2 20
Aegithalos_concinnus.ND2.terminals.nuc.fa.30.samples.mike6.txt RSquareAndDistance -0.001 0.496 Aegithalos_concinnus ND2 30
Aegithalos_concinnus.ND2.terminals.nuc.fa.30.samples.mike6.txt DAndDistance -0.006 0.441 Aegithalos_concinnus ND2 30
Aegithalos_concinnus.ND2.terminals.nuc.fa.40.samples.mike6.txt RSquareAndDistance -0.013 0.312 Aegithalos_concinnus ND2 40
Aegithalos_concinnus.ND2.terminals.nuc.fa.40.samples.mike6.txt DAndDistance -0.009 0.374 Aegithalos_concinnus ND2 40
Aegithalos_concinnus.ND2.terminals.nuc.fa.50.samples.mike6.txt RSquareAndDistance -0.004 0.428 Aegithalos_concinnus ND2 50
Aegithalos_concinnus.ND2.terminals.nuc.fa.50.samples.mike6.txt DAndDistance -0.023 0.184 Aegithalos_concinnus ND2 50
Aethopyga_pulcherrima.ND2.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.019 0.839 Aethopyga_pulcherrima ND2 10
Aethopyga_pulcherrima.ND2.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0.011 0.682 Aethopyga_pulcherrima ND2 10
Aethopyga_pulcherrima.ND2.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance 0.001 0.507 Aethopyga_pulcherrima ND2 20
Aethopyga_pulcherrima.ND2.terminals.nuc.fa.20.samples.mike6.txt DAndDistance 0.032 0.943 Aethopyga_pulcherrima ND2 20
Agelaius_phoeniceus.ND2.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.061 0.866 Agelaius_phoeniceus ND2 10
Agelaius_phoeniceus.ND2.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0.073 0.881 Agelaius_phoeniceus ND2 10
Agkistrodon_contortrix.ATP6.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.093 0.069 Agkistrodon_contortrix ATP6 10
Agkistrodon_contortrix.ATP6.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0.022 0.763 Agkistrodon_contortrix ATP6 10
Agkistrodon_contortrix.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.023 0.293 Agkistrodon_contortrix CytB 10
Agkistrodon_contortrix.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.085 0.079 Agkistrodon_contortrix CytB 10
Agkistrodon_contortrix.CytB.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance -0.013 0.371 Agkistrodon_contortrix CytB 20
Agkistrodon_contortrix.CytB.terminals.nuc.fa.20.samples.mike6.txt DAndDistance -0.132 0.022 Agkistrodon_contortrix CytB 20
Agkistrodon_piscivorus.ATP6.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.054 0.266 Agkistrodon_piscivorus ATP6 10
Agkistrodon_piscivorus.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.032 0.704 Agkistrodon_piscivorus CytB 10
Agkistrodon_piscivorus.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0.008 0.562 Agkistrodon_piscivorus CytB 10
Agkistrodon_piscivorus.CytB.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance 0.064 0.857 Agkistrodon_piscivorus CytB 20
Agkistrodon_piscivorus.CytB.terminals.nuc.fa.20.samples.mike6.txt DAndDistance 0.013 0.657 Agkistrodon_piscivorus CytB 20
Agonostomus_monticola.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.032 0.988 Agonostomus_monticola CytB 10
Agonostomus_monticola.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0 0.499 Agonostomus_monticola CytB 10
Agonostomus_monticola.CytB.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance 0.026 0.961 Agonostomus_monticola CytB 20
Agonostomus_monticola.CytB.terminals.nuc.fa.20.samples.mike6.txt DAndDistance -0.002 0.469 Agonostomus_monticola CytB 20
Ailuropoda_melanoleuca.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.017 0.375 Ailuropoda_melanoleuca CytB 10
Ailuropoda_melanoleuca.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.028 0.263 Ailuropoda_melanoleuca CytB 10
Ailuropoda_melanoleuca.CytB.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance -0.491 0 Ailuropoda_melanoleuca CytB 20
Ailuropoda_melanoleuca.CytB.terminals.nuc.fa.20.samples.mike6.txt DAndDistance -0.179 0.021 Ailuropoda_melanoleuca CytB 20
Ailuropoda_melanoleuca.CytB.terminals.nuc.fa.30.samples.mike6.txt RSquareAndDistance -0.306 0 Ailuropoda_melanoleuca CytB 30
Ailuropoda_melanoleuca.CytB.terminals.nuc.fa.30.samples.mike6.txt DAndDistance -0.076 0.072 Ailuropoda_melanoleuca CytB 30
Akodon_montensis.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.031 0.125 Akodon_montensis CytB 10
Akodon_montensis.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.002 0.465 Akodon_montensis CytB 10
Akodon_spegazzinii.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.082 0.022 Akodon_spegazzinii CytB 10
Akodon_spegazzinii.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.017 0.219 Akodon_spegazzinii CytB 10
Alauda_arvensis.ND2.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.067 0.02 Alauda_arvensis ND2 10
Alauda_arvensis.ND2.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.117 0.001 Alauda_arvensis ND2 10
Alauda_arvensis.ND2.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance -0.069 0.099 Alauda_arvensis ND2 20
Alauda_arvensis.ND2.terminals.nuc.fa.20.samples.mike6.txt DAndDistance 0.059 0.977 Alauda_arvensis ND2 20
Alauda_arvensis.ND2.terminals.nuc.fa.30.samples.mike6.txt RSquareAndDistance -0.026 0.317 Alauda_arvensis ND2 30
Alauda_arvensis.ND2.terminals.nuc.fa.30.samples.mike6.txt DAndDistance -0.061 0.121 Alauda_arvensis ND2 30
Alectoris_chukar.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.28 0 Alectoris_chukar CytB 10
Alectoris_chukar.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.095 0.039 Alectoris_chukar CytB 10
Alectoris_chukar.CytB.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance -0.5 0 Alectoris_chukar CytB 20
Alectoris_chukar.CytB.terminals.nuc.fa.20.samples.mike6.txt DAndDistance 0.079 0.996 Alectoris_chukar CytB 20
Alectoris_chukar.CytB.terminals.nuc.fa.30.samples.mike6.txt RSquareAndDistance -0.514 0 Alectoris_chukar CytB 30
Alectoris_chukar.CytB.terminals.nuc.fa.30.samples.mike6.txt DAndDistance 0.017 0.72 Alectoris_chukar CytB 30
Alectoris_chukar.CytB.terminals.nuc.fa.40.samples.mike6.txt RSquareAndDistance -0.467 0 Alectoris_chukar CytB 40
Alectoris_chukar.CytB.terminals.nuc.fa.40.samples.mike6.txt DAndDistance 0.07 0.955 Alectoris_chukar CytB 40
Alectoris_rufa.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.047 0.781 Alectoris_rufa CytB 10
Alectoris_rufa.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0.023 0.751 Alectoris_rufa CytB 10
Alectoris_rufa.CytB.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance 0.039 0.745 Alectoris_rufa CytB 20
Alectoris_rufa.CytB.terminals.nuc.fa.20.samples.mike6.txt DAndDistance -0.012 0.307 Alectoris_rufa CytB 20
Alectoris_rufa.CytB.terminals.nuc.fa.30.samples.mike6.txt RSquareAndDistance 0.041 0.755 Alectoris_rufa CytB 30
Alectoris_rufa.CytB.terminals.nuc.fa.30.samples.mike6.txt DAndDistance -0.005 0.436 Alectoris_rufa CytB 30
Alethe_poliocephala.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.112 0 Alethe_poliocephala CytB 10
Alethe_poliocephala.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0.038 0.928 Alethe_poliocephala CytB 10
Alophoixus_pallidus.ATP6.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.024 0.397 Alophoixus_pallidus ATP6 10
Alophoixus_pallidus.ATP6.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance 0.022 0.644 Alophoixus_pallidus ATP6 20
Alophoixus_pallidus.ATP6.terminals.nuc.fa.30.samples.mike6.txt RSquareAndDistance 0.03 0.769 Alophoixus_pallidus ATP6 30
Alophoixus_pallidus.ATP6.terminals.nuc.fa.30.samples.mike6.txt DAndDistance 0.026 0.688 Alophoixus_pallidus ATP6 30
Alosa_alosa.ND1.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.06 0.802 Alosa_alosa ND1 10
Alosa_alosa.ND1.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0.013 0.561 Alosa_alosa ND1 10
Alosa_fallax.ND1.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.075 0.848 Alosa_fallax ND1 10
Alosa_fallax.ND1.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0.015 0.612 Alosa_fallax ND1 10
Alosa_fallax.ND1.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance 0.103 0.948 Alosa_fallax ND1 20
Alosa_fallax.ND1.terminals.nuc.fa.20.samples.mike6.txt DAndDistance 0.062 0.892 Alosa_fallax ND1 20
Alosa_fallax.ND1.terminals.nuc.fa.30.samples.mike6.txt RSquareAndDistance 0.049 0.807 Alosa_fallax ND1 30
Alosa_fallax.ND1.terminals.nuc.fa.30.samples.mike6.txt DAndDistance 0.044 0.873 Alosa_fallax ND1 30
Alosa_fallax.ND1.terminals.nuc.fa.40.samples.mike6.txt RSquareAndDistance 0.083 0.963 Alosa_fallax ND1 40
Alosa_fallax.ND1.terminals.nuc.fa.40.samples.mike6.txt DAndDistance 0.064 0.947 Alosa_fallax ND1 40
Alosa_sapidissima.ND1.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.14 0.078 Alosa_sapidissima ND1 10
Alosa_sapidissima.ND1.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.048 0.26 Alosa_sapidissima ND1 10
Alouatta_belzebul.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.02 0.359 Alouatta_belzebul CytB 10
Alouatta_belzebul.CytB.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance 0.011 0.591 Alouatta_belzebul CytB 20
Alouatta_belzebul.CytB.terminals.nuc.fa.20.samples.mike6.txt DAndDistance -0.007 0.375 Alouatta_belzebul CytB 20
Alouatta_belzebul.CytB.terminals.nuc.fa.30.samples.mike6.txt RSquareAndDistance -0.028 0.111 Alouatta_belzebul CytB 30
Alouatta_belzebul.CytB.terminals.nuc.fa.30.samples.mike6.txt DAndDistance -0.037 0.006 Alouatta_belzebul CytB 30
Alouatta_belzebul.CytB.terminals.nuc.fa.40.samples.mike6.txt RSquareAndDistance -0.015 0.253 Alouatta_belzebul CytB 40
Alouatta_belzebul.CytB.terminals.nuc.fa.40.samples.mike6.txt DAndDistance -0.02 0.168 Alouatta_belzebul CytB 40
Alouatta_caraya.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.063 0.16 Alouatta_caraya CytB 10
Alouatta_caraya.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.011 0.385 Alouatta_caraya CytB 10
Alouatta_seniculus.COX2.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.114 0.914 Alouatta_seniculus COX2 10
Alouatta_seniculus.COX2.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0.124 0.946 Alouatta_seniculus COX2 10
Alticus_arnoldorum.ATP6.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.203 0.812 Alticus_arnoldorum ATP6 10
Amatitlania_nigrofasciata.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.025 0.695 Amatitlania_nigrofasciata CytB 10
Amatitlania_nigrofasciata.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.063 0.135 Amatitlania_nigrofasciata CytB 10
Amatitlania_nigrofasciata.CytB.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance 0 0.464 Amatitlania_nigrofasciata CytB 20
Amatitlania_nigrofasciata.CytB.terminals.nuc.fa.20.samples.mike6.txt DAndDistance 0.003 0.547 Amatitlania_nigrofasciata CytB 20
Amatitlania_nigrofasciata.CytB.terminals.nuc.fa.30.samples.mike6.txt RSquareAndDistance 0.014 0.724 Amatitlania_nigrofasciata CytB 30
Amatitlania_nigrofasciata.CytB.terminals.nuc.fa.30.samples.mike6.txt DAndDistance -0.041 0.063 Amatitlania_nigrofasciata CytB 30
Amatitlania_nigrofasciata.CytB.terminals.nuc.fa.40.samples.mike6.txt RSquareAndDistance -0.022 0.093 Amatitlania_nigrofasciata CytB 40
Amatitlania_nigrofasciata.CytB.terminals.nuc.fa.40.samples.mike6.txt DAndDistance -0.008 0.332 Amatitlania_nigrofasciata CytB 40
Amatitlania_nigrofasciata.CytB.terminals.nuc.fa.50.samples.mike6.txt RSquareAndDistance -0.008 0.327 Amatitlania_nigrofasciata CytB 50
Amatitlania_nigrofasciata.CytB.terminals.nuc.fa.50.samples.mike6.txt DAndDistance -0.013 0.289 Amatitlania_nigrofasciata CytB 50
Amazona_ochrocephala.ATP6.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.001 0.451 Amazona_ochrocephala ATP6 10
Amazona_ochrocephala.ATP6.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0.044 0.831 Amazona_ochrocephala ATP6 10
Amazona_ochrocephala.ND2.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.005 0.414 Amazona_ochrocephala ND2 10
Amazona_ochrocephala.ND2.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0.075 0.982 Amazona_ochrocephala ND2 10
Amazona_ochrocephala.ND2.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance -0.014 0.339 Amazona_ochrocephala ND2 20
Amazona_ochrocephala.ND2.terminals.nuc.fa.20.samples.mike6.txt DAndDistance 0.029 0.797 Amazona_ochrocephala ND2 20
Amblysomus_hottentotus.ND2.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.025 0.863 Amblysomus_hottentotus ND2 10
Amblysomus_hottentotus.ND2.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0.028 0.817 Amblysomus_hottentotus ND2 10
Amblysomus_hottentotus.ND2.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance 0.001 0.518 Amblysomus_hottentotus ND2 20
